relation_type	related_work	related_person	start_date	end_date
1049	http://schnitzler-werkimport/work_3807	pmb12170		
1049	http://schnitzler-werkimport/work_3808	pmb12170		
1049	http://schnitzler-werkimport/work_3810	pmb12170		
1049	http://schnitzler-werkimport/work_3811	pmb12170		
1049	http://schnitzler-werkimport/work_3809	pmb12170		
1049	http://schnitzler-werkimport/work_3818	pmb12170		
1049	http://schnitzler-werkimport/work_5453	pmb13094		
1049	http://schnitzler-werkimport/work_5458	pmb13094		
1049	http://schnitzler-werkimport/work_5452	pmb13094		
1049	http://schnitzler-werkimport/work_5461	pmb13094		
1049	http://schnitzler-werkimport/work_5462	pmb13094		
1049	http://schnitzler-werkimport/D466_n1_w2	pmb13094		
1049	http://schnitzler-werkimport/work_5455	pmb13094		
1049	http://schnitzler-werkimport/work_5464	pmb13094		
1049	http://schnitzler-werkimport/work_5456	pmb13094		
1049	http://schnitzler-werkimport/work_5457	pmb13094		
1049	http://schnitzler-werkimport/work_5460	pmb13094		
1049	http://schnitzler-werkimport/work_5463	pmb13094		
1049	http://schnitzler-werkimport/work_5263	pmb12993		
1049	http://schnitzler-werkimport/work_5265	pmb12993		
1049	http://schnitzler-werkimport/work_5266	pmb12993		
1049	http://schnitzler-werkimport/work_5267	pmb12993		
1049	http://schnitzler-werkimport/D445_n1_w4	pmb12993		
1049	http://schnitzler-werkimport/work_5268	pmb12993		
1049	http://schnitzler-werkimport/work_5270	pmb12993		
1049	http://schnitzler-werkimport/work_5271	pmb12993		
1049	http://schnitzler-werkimport/work_5262	pmb12993		
1049	http://schnitzler-werkimport/work_1477	pmb10863		
1049	http://schnitzler-werkimport/work_1475	pmb10863		
1049	http://schnitzler-werkimport/work_3023	pmb11640		
1049	http://schnitzler-werkimport/work_3021	pmb11640		
1049	http://schnitzler-werkimport/work_3029	pmb11640		
1049	http://schnitzler-werkimport/work_3026	pmb11640		
1049	http://schnitzler-werkimport/work_3025	pmb11640		
1049	http://schnitzler-werkimport/work_3027	pmb11640		
1049	http://schnitzler-werkimport/work_3402	pmb11910		
1049	http://schnitzler-werkimport/work_3406	pmb11910		
1049	http://schnitzler-werkimport/work_3403	pmb11910		
1049	http://schnitzler-werkimport/work_3404	pmb11910		
1049	http://schnitzler-werkimport/work_5477	pmb13107		
1049	http://schnitzler-werkimport/work_1830	pmb11024		
1049	http://schnitzler-werkimport/work_1831	pmb11024		
1049	http://schnitzler-werkimport/work_1832	pmb11024		
1049	http://schnitzler-werkimport/work_1833	pmb11024		
1049	http://schnitzler-werkimport/work_1834	pmb11024		
1049	http://schnitzler-werkimport/work_1836	pmb11024		
1049	http://schnitzler-werkimport/work_1837	pmb11024		
1049	http://schnitzler-werkimport/work_1839	pmb11024		
1049	http://schnitzler-werkimport/D167_n1_w1	pmb17465		
1049	http://schnitzler-werkimport/work_1682	pmb14328		
1049	http://schnitzler-werkimport/work_1682	pmb11845		
1049	http://schnitzler-werkimport/work_1684	pmb14328		
1049	http://schnitzler-werkimport/work_1689	pmb14328		
1049	http://schnitzler-werkimport/work_1691	pmb14328		
1049	http://schnitzler-werkimport/work_1687	pmb14328		
1049	http://schnitzler-werkimport/work_1683	pmb14328		
1049	http://schnitzler-werkimport/work_1683	pmb9194		
1049	http://schnitzler-werkimport/work_1685	pmb14328		
1049	http://schnitzler-werkimport/work_1686	pmb14328		
1049	http://schnitzler-werkimport/work_1686	pmb11845		
1049	http://schnitzler-werkimport/work_1692	pmb14328		
1049	http://schnitzler-werkimport/work_1692	pmb11845		
1049	http://schnitzler-werkimport/work_1744	pmb2935		
1049	http://schnitzler-werkimport/work_1745	pmb2935		
1049	http://schnitzler-werkimport/D98_n1_w8	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w7	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w2	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w5	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w3	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w1	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w6	pmb11216		
1049	http://schnitzler-werkimport/D98_n1_w4	pmb11216		
1049	http://schnitzler-werkimport/work_2596	pmb11391		
1049	http://schnitzler-werkimport/work_2605	pmb11391		
1049	http://schnitzler-werkimport/work_2590	pmb11391		
1049	http://schnitzler-werkimport/work_2601	pmb11391		
1049	http://schnitzler-werkimport/work_2610	pmb11391		
1049	http://schnitzler-werkimport/work_2592	pmb11391		
1049	http://schnitzler-werkimport/work_2591	pmb11391		
1049	http://schnitzler-werkimport/work_2609	pmb11391		
1049	http://schnitzler-werkimport/work_2594	pmb11391		
1049	http://schnitzler-werkimport/work_2595	pmb11391		
1049	http://schnitzler-werkimport/work_2597	pmb11391		
1049	http://schnitzler-werkimport/work_2598	pmb11391		
1049	http://schnitzler-werkimport/work_2602	pmb11391		
