id	name	start_date	end_date	kind
http://schnitzler-werkimport/work_3798	Eugénie oder Die Bürgerzeit			1060
http://schnitzler-werkimport/work_3800	Flöten und Dolche. Novellen			1098
http://schnitzler-werkimport/work_3802	Gretchen			
http://schnitzler-werkimport/work_3815	Im Schlaraffenland			
http://schnitzler-werkimport/work_3799	In einer Familie			1060
http://schnitzler-werkimport/work_3807	Macht und Mensch			
http://schnitzler-werkimport/work_3808	Madame Legros			1097
http://schnitzler-werkimport/work_3810	Mutter Marie			
http://schnitzler-werkimport/work_3811	Professor Unrat oder Das Ende eines Tyrannen. Roman			1060
http://schnitzler-werkimport/work_3809	Stürmische Morgen. Novellen			
http://schnitzler-werkimport/work_3818	Variété			
http://schnitzler-werkimport/work_5453	Barbara oder Die Frömmigkeit			1060
http://schnitzler-werkimport/work_5458	Das Reich Gottes in Böhmen			
http://schnitzler-werkimport/work_5452	Der Abituriententag			
http://schnitzler-werkimport/work_5461	Der Tod des Kleinbürgers			
http://schnitzler-werkimport/work_5462	Die Troerinnen			1097
http://schnitzler-werkimport/D466_n1_w2	Gedichte	1927	1927	
http://schnitzler-werkimport/work_5455	Juarez und Maximilian			1097
http://schnitzler-werkimport/work_5464	Kleine Verhältnisse			
http://schnitzler-werkimport/work_5456	Nicht der Mörder, der Ermordete ist schuldig. Eine Novelle			1054
http://schnitzler-werkimport/work_5457	Paulus unter den Juden			
http://schnitzler-werkimport/work_5460	Spiegelmensch			1097
http://schnitzler-werkimport/work_5463	Verdi			1156
http://schnitzler-werkimport/work_5263	Flügel der Nike			1164
http://schnitzler-werkimport/work_5265	Heinrich von Andernach			1097
http://schnitzler-werkimport/work_5266	Louis Ferdinand, Prinz von Preußen. Ein Drama			1097
http://schnitzler-werkimport/work_5267	Offiziere. Ein Drama			
http://schnitzler-werkimport/D445_n1_w4	Opfergang	1919	1919	
http://schnitzler-werkimport/work_5268	Phaea			1097
http://schnitzler-werkimport/work_5270	Reden			
http://schnitzler-werkimport/work_5271	Stürme			
http://schnitzler-werkimport/work_5262	Vor der Entscheidung. Ein Gedicht			
http://schnitzler-werkimport/work_1477	Die Historie von König David. Ein Zyklus			1097
http://schnitzler-werkimport/work_1475	Gedenkrede auf Wolfgang Amadé Mozart			1798
http://schnitzler-werkimport/work_3023	Der Doktor Faust. Ein Tanzpoem			
http://schnitzler-werkimport/work_3021	Deutschland. Ein Wintermärchen			
http://schnitzler-werkimport/work_3029	Die Menge tut es			
http://schnitzler-werkimport/work_3026	Heinrich Heine’s Autobiographie			1099
http://schnitzler-werkimport/work_3025	Novellistische Fragmente			
http://schnitzler-werkimport/work_3027	Über Ludwig Börne			
http://schnitzler-werkimport/work_3402	Das neue Drama			
http://schnitzler-werkimport/work_3406	Die Welt im Licht			
http://schnitzler-werkimport/work_3403	Es sei wie es wolle, es war doch so schön!			
http://schnitzler-werkimport/work_3404	O Spanien!			
http://schnitzler-werkimport/work_5477	2 x 2 = 5			1097
http://schnitzler-werkimport/work_1830	Symphonie Nr. 1 c-Moll WAB 101			
http://schnitzler-werkimport/work_1831	Symphonie Nr. 2 c-Moll WAB 102			
http://schnitzler-werkimport/work_1832	Symphonie Nr. 3 d-Moll WAB 103			
http://schnitzler-werkimport/work_1833	Symphonie Nr. 4 Es-Dur WAB 104 (Romantische)			
http://schnitzler-werkimport/work_1834	Symphonie Nr. 5 B-Dur WAB 105			
http://schnitzler-werkimport/work_1836	Symphonie Nr. 7 E-Dur WAB 107			
http://schnitzler-werkimport/work_1837	Symphonie Nr. 7 E-Dur WAB 107, Adagio			
http://schnitzler-werkimport/work_1839	Symphonie Nr. 9 d-Moll WAB 109			
http://schnitzler-werkimport/D167_n1_w1	Thränen	1898	1898	
http://schnitzler-werkimport/work_1682	Als ich wiederkam			1097
http://schnitzler-werkimport/work_1684	Das zweite Gesicht			
http://schnitzler-werkimport/work_1689	Der Probepfeil			1097
http://schnitzler-werkimport/work_1691	Ein Tropfen Gift			1097
http://schnitzler-werkimport/work_1687	Falsche Heilige			1097
http://schnitzler-werkimport/work_1683	Frau Venus			
http://schnitzler-werkimport/work_1685	Gräfin Fritzi			1097
http://schnitzler-werkimport/work_1686	Hans Huckebein			
http://schnitzler-werkimport/work_1692	Zwei Wappen			1097
http://schnitzler-werkimport/work_1744	Er, sie und er			1097
http://schnitzler-werkimport/work_1745	Tragödien der Seele			1097
http://schnitzler-werkimport/D98_n1_w8	Aus Spätherbsttagen. Erzählungen	1901	1901	
http://schnitzler-werkimport/D98_n1_w7	Das Gemeindekind. Erzählung	1887	1887	
http://schnitzler-werkimport/D98_n1_w2	Dorf- und Schloßgeschichten	1883	1883	
http://schnitzler-werkimport/D98_n1_w5	Miterlebtes. Erzählungen	1889	1889	
http://schnitzler-werkimport/D98_n1_w3	Neue Dorf- und Schloßgeschichten	1886	1886	
http://schnitzler-werkimport/D98_n1_w1	Neue Erzählungen	1881	1881	
http://schnitzler-werkimport/D98_n1_w6	Unsühnbar. Erzählung	1890	1890	
http://schnitzler-werkimport/D98_n1_w4	Zwei Comtessen	1885	1885	
http://schnitzler-werkimport/work_2596	Bunte Gesellschaft			
http://schnitzler-werkimport/work_2605	Das verlorene Paradies			1097
http://schnitzler-werkimport/work_2590	Der Dummkopf			
http://schnitzler-werkimport/work_2601	Der heimliche König			
http://schnitzler-werkimport/work_2610	Der Vulkan			
http://schnitzler-werkimport/work_2592	Des Esels Schatten			
http://schnitzler-werkimport/work_2591	Die Durchgängerin			
http://schnitzler-werkimport/work_2609	Die verlorene Tochter			1097
http://schnitzler-werkimport/work_2594	Filmromantik			
http://schnitzler-werkimport/work_2595	Fräulein Wittwe			1057
http://schnitzler-werkimport/work_2597	Herostrat			1097
http://schnitzler-werkimport/work_2598	Herr und Diener			
http://schnitzler-werkimport/work_2602	Maskerade			
http://schnitzler-werkimport/work_2603	Meisterlustspiele der Spanier			
http://schnitzler-werkimport/work_2604	Novella d'Andrea			1097
http://schnitzler-werkimport/work_3121	Auf der Schaukel und andere Novellen			
http://schnitzler-werkimport/work_3110	Das Blut der Messalina			
http://schnitzler-werkimport/work_3112	Der Mann im Morgendämmer			1060
http://schnitzler-werkimport/work_3118	Ein Requiem			
http://schnitzler-werkimport/work_3113	Mieze und Maria			
http://schnitzler-werkimport/work_3115	Nachwelt			1060
http://schnitzler-werkimport/work_3116	Nebeneinander			1097
http://schnitzler-werkimport/work_3119	Rösickes Geist			1097
http://schnitzler-werkimport/work_3123	Überwinder			
http://schnitzler-werkimport/D283_n1_w1	Alfred de Musset	1877	1877	
http://schnitzler-werkimport/D283_n1_w6	Arme Mädchen	1887	1887	
http://schnitzler-werkimport/D283_n1_w8	Der Abend. Schauspiel	1908	1908	
http://schnitzler-werkimport/D283_n1_w5	Der Zug nach dem Westen	1886	1886	
http://schnitzler-werkimport/work_3674	Die beiden Leonoren			
http://schnitzler-werkimport/work_3675	Die Venus von Milo			1057
http://schnitzler-werkimport/work_3671	Frau Susanne			
http://schnitzler-werkimport/work_3672	Herr und Frau Bewer. Novelle			
http://schnitzler-werkimport/work_3673	Karl Hau und die Ermordung der Frau Josefine Molitor			1680
http://schnitzler-werkimport/D283_n1_w3	Kleine Geschichten	1871	1871	
http://schnitzler-werkimport/D283_n1_w4	Literarische Rücksichtslosigkeiten. Feuilletonistische und polemische Aufsätze	1871	1871	
http://schnitzler-werkimport/D283_n1_w7	Wunderliche Leute. Kleine Erzählungen	1888	1888	
http://schnitzler-werkimport/work_3722	Der Wunsch			1057
http://schnitzler-werkimport/work_3723	Der Zauberlehrling			
http://schnitzler-werkimport/work_1355	Die javanische Puppe			1097
http://schnitzler-werkimport/work_2780	Die Republik befiehlt			1097
http://schnitzler-werkimport/work_3719	Die Rosentempler			1097
