relation_type	uri	related_work	start_date	end_date
1884	http://schnitzler-werkimport/G8_n1_w1_t1	http://schnitzler-werkimport/G8_n1_w1_o1	1905	1905
1884	http://schnitzler-werkimport/G8_n1_w4_t1	http://schnitzler-werkimport/G8_n1_w4_o1	1803	1803
1884	http://schnitzler-werkimport/G8_n1_w2_t1	http://schnitzler-werkimport/G8_n1_w2_o1	1794	1794
1884	http://schnitzler-werkimport/R6_n1_w4_t1	http://schnitzler-werkimport/R6_n1_w4_o1	1886	1886
1884	http://schnitzler-werkimport/R6_n1_w18_t1	http://schnitzler-werkimport/R6_n1_w18_o1	1918	1918
1884	http://schnitzler-werkimport/R6_n1_w6_t1	http://schnitzler-werkimport/R6_n1_w6_o1	1899	1899
1884	http://schnitzler-werkimport/R6_n1_w13_t1	http://schnitzler-werkimport/R6_n1_w13_o1	1895	1895
1884	http://schnitzler-werkimport/R6_n1_w8_t1	http://schnitzler-werkimport/R6_n1_w8_o1	1888	1888
1884	http://schnitzler-werkimport/R6_n1_w7_t1	http://schnitzler-werkimport/R6_n1_w7_o1	1899	1899
1884	http://schnitzler-werkimport/work_2178	http://schnitzler-werkimport/R6_n1_w9_o1		
1884	http://schnitzler-werkimport/R6_n1_w22_t1	http://schnitzler-werkimport/R6_n1_w22_o1	1906	1906
1884	http://schnitzler-werkimport/R6_n1_w15_t1	http://schnitzler-werkimport/R6_n1_w15_o1	1914	1914
1884	http://schnitzler-werkimport/R6_n1_w5_t1	http://schnitzler-werkimport/R6_n1_w5_o1	1894	1894
1884	http://schnitzler-werkimport/R6_n1_w12_t1	http://schnitzler-werkimport/R6_n1_w12_o1	1885	1885
1884	http://schnitzler-werkimport/R6_n1_w3_t1	http://schnitzler-werkimport/R6_n1_w3_o1	1886	1886
1884	http://schnitzler-werkimport/R6_n1_w14_t1	http://schnitzler-werkimport/R6_n1_w14_o1	1887	1887
1884	http://schnitzler-werkimport/R6_n1_w10_t1	http://schnitzler-werkimport/R6_n1_w10_o1	1899	1899
1884	http://schnitzler-werkimport/work_2177	http://schnitzler-werkimport/R6_n1_w11_o1		
1884	http://schnitzler-werkimport/R6_n1_w1_t1	http://schnitzler-werkimport/R6_n1_w1_o1	1909	1909
1884	http://schnitzler-werkimport/R6_n1_w20_t1	http://schnitzler-werkimport/R6_n1_w20_o1	1888	1888
1884	http://schnitzler-werkimport/F42_n1_w2_t1	http://schnitzler-werkimport/F42_n1_w2_o1	1846	1846
1884	http://schnitzler-werkimport/I5_n1_w1_t1	http://schnitzler-werkimport/I5_n1_w1_o1	1824	1824
1884	http://schnitzler-werkimport/F160_n1_w6_t1	http://schnitzler-werkimport/F160_n1_w6_o1	1921	1921
1884	http://schnitzler-werkimport/F160_n1_w3_t1	http://schnitzler-werkimport/F160_n1_w3_o1	1923	1923
1884	http://schnitzler-werkimport/F160_n1_w1_t1	http://schnitzler-werkimport/F160_n1_w1_o1	1888	1888
1884	http://schnitzler-werkimport/P3_n1_w1_t1	http://schnitzler-werkimport/P3_n1_w1_o1	1918	1918
1884	http://schnitzler-werkimport/G5_n1_w1_t1	http://schnitzler-werkimport/G5_n1_w1_o1	1794	1794
1884	http://schnitzler-werkimport/G5_n1_w3_t1	http://schnitzler-werkimport/G5_n1_w3_o1	1783	1783
1884	http://schnitzler-werkimport/G5_n1_w2_t1	http://schnitzler-werkimport/G5_n1_w2_o1	1798	1798
1884	http://schnitzler-werkimport/GB19_n1_w3_t1	http://schnitzler-werkimport/GB19_n1_w3_o1	1893	1893
1884	http://schnitzler-werkimport/GB19_n1_w1_t1	http://schnitzler-werkimport/GB19_n1_w1_o1	1896	1896
1884	http://schnitzler-werkimport/I13_n1_w2_t1	http://schnitzler-werkimport/I13_n1_w2_o1	1895	1895
1884	http://schnitzler-werkimport/I13_n1_w1_t1	http://schnitzler-werkimport/I13_n1_w1_o1	1898	1898
1884	http://schnitzler-werkimport/I2_n1_w1_t1	http://schnitzler-werkimport/I2_n1_w1_o1	1910	1910
1884	http://schnitzler-werkimport/I2_n1_w2_t1	http://schnitzler-werkimport/I2_n1_w2_o1	1886	1886
1884	http://schnitzler-werkimport/N21_n1_w8_t1	http://schnitzler-werkimport/N21_n1_w8_o1	1909	1909
1884	http://schnitzler-werkimport/N21_n1_w6_t1	http://schnitzler-werkimport/N21_n1_w6_o1	1899	1899
1884	http://schnitzler-werkimport/N21_n1_w12_t1	http://schnitzler-werkimport/N21_n1_w12_o1	1914	1914
1884	http://schnitzler-werkimport/N21_n1_w14_t1	http://schnitzler-werkimport/N21_n1_w14_o1	1916	1916
1884	http://schnitzler-werkimport/N21_n1_w2_t1	http://schnitzler-werkimport/N21_n1_w2_o1	1891	1891
1884	http://schnitzler-werkimport/N21_n1_w1_t1	http://schnitzler-werkimport/N21_n1_w1_o1	1891	1891
1884	http://schnitzler-werkimport/N21_n1_w5_t1	http://schnitzler-werkimport/N21_n1_w5_o1	1905	1905
1884	http://schnitzler-werkimport/N21_n1_w13_t1	http://schnitzler-werkimport/N21_n1_w13_o1	1914	1914
1884	http://schnitzler-werkimport/N21_n1_w4_t1	http://schnitzler-werkimport/N21_n1_w4_o1	1894	1894
1884	http://schnitzler-werkimport/work_2899	http://schnitzler-werkimport/N21_n1_w7_o1		
1884	http://schnitzler-werkimport/N21_n1_w3_t1	http://schnitzler-werkimport/N21_n1_w3_o1	1895	1895
1884	http://schnitzler-werkimport/N21_n1_w9_t1	http://schnitzler-werkimport/N21_n1_w9_o1	1898	1898
1884	http://schnitzler-werkimport/N21_n1_w15_t1	http://schnitzler-werkimport/N21_n1_w15_o1	1918	1918
1884	http://schnitzler-werkimport/work_2901	http://schnitzler-werkimport/N21_n1_w11_o1		
1884	http://schnitzler-werkimport/N21_n1_w10_t1	http://schnitzler-werkimport/N21_n1_w10_o1	1899	1899
1884	http://schnitzler-werkimport/N31_n1_w1_t1	http://schnitzler-werkimport/N31_n1_w1_o1	1907	1907
1884	http://schnitzler-werkimport/work_3299	http://schnitzler-werkimport/N31_n1_w3_o1		
1884	http://schnitzler-werkimport/N31_n1_w4_t1	http://schnitzler-werkimport/N31_n1_w4_o1	1908	1908
1884	http://schnitzler-werkimport/work_3298	http://schnitzler-werkimport/N31_n1_w2_o1		
1884	http://schnitzler-werkimport/N38_n1_w1_t1	http://schnitzler-werkimport/N38_n1_w1_o1	1896	1896
1884	http://schnitzler-werkimport/F148_n1_w1_t1	http://schnitzler-werkimport/F148_n1_w1_o1	1914	1917
1884	http://schnitzler-werkimport/N7_n1_w4_t1	http://schnitzler-werkimport/N7_n1_w4_o1	1860	1860
1884	http://schnitzler-werkimport/N7_n1_w1_t1	http://schnitzler-werkimport/N7_n1_w1_o1	1884	1884
1884	http://schnitzler-werkimport/N7_n1_w6_t1	http://schnitzler-werkimport/N7_n1_w6_o1	1888	1888
1884	http://schnitzler-werkimport/work_1670	http://schnitzler-werkimport/N7_n1_w8_o1		
1884	http://schnitzler-werkimport/N7_n1_w3_t1	http://schnitzler-werkimport/N7_n1_w3_o1	1909	1910
1884	http://schnitzler-werkimport/N7_n1_w2_t1	http://schnitzler-werkimport/N7_n1_w2_o1	1903	1903
1884	http://schnitzler-werkimport/N7_n1_w5_t1	http://schnitzler-werkimport/N7_n1_w5_o1	1859	1859
1884	http://schnitzler-werkimport/R11_n1_w5_t1	http://schnitzler-werkimport/R11_n1_w5_o1	1901	1901
1884	http://schnitzler-werkimport/R11_n1_w3_t1	http://schnitzler-werkimport/R11_n1_w3_o1	1901	1902
1884	http://schnitzler-werkimport/R11_n1_w1_t1	http://schnitzler-werkimport/R11_n1_w1_o1	1901	1901
1884	http://schnitzler-werkimport/R11_n1_w4_t1	http://schnitzler-werkimport/R11_n1_w4_o1	1901	1902
1884	http://schnitzler-werkimport/F118_n1_w2_t1	http://schnitzler-werkimport/F118_n1_w2_o1	1874	1874
1884	http://schnitzler-werkimport/F118_n1_w1_t1	http://schnitzler-werkimport/F118_n1_w1_o1	1874	1874
1884	http://schnitzler-werkimport/N4_n1_w6_t1	http://schnitzler-werkimport/N4_n1_w6_o1	1898	1898
1884	http://schnitzler-werkimport/N4_n1_w1_t1	http://schnitzler-werkimport/N4_n1_w1_o1	1905	1905
1884	http://schnitzler-werkimport/N4_n1_w3_t1	http://schnitzler-werkimport/N4_n1_w3_o1	1897	1897
1884	http://schnitzler-werkimport/N4_n1_w5_t1	http://schnitzler-werkimport/N4_n1_w5_o1	1900	1900
1884	http://schnitzler-werkimport/N4_n1_w2_t1	http://schnitzler-werkimport/N4_n1_w2_o1	1906	1906
1884	http://schnitzler-werkimport/N4_n1_w8_t1	http://schnitzler-werkimport/N4_n1_w8_o1	1911	1911
1884	http://schnitzler-werkimport/N4_n1_w4_t1	http://schnitzler-werkimport/N4_n1_w4_o1	1903	1903
